year,region_code,region_name,carrier,conso_totale_mwh,nb_sites,habitants
2022,93,Provence-Alpes-Côte d'Azur,Electricité,34795455.856286004,3626576.0,
2022,93,Provence-Alpes-Côte d'Azur,Gaz,39447263.19436899,693561.0,
2022,94,Corse,Electricité,2109317.3019999997,276707.0,
2023,1,Guadeloupe,Electricité,1458727.033,233252.0,
2023,2,Martinique,Electricité,1379465.697,211980.0,
2023,3,Guyane,Electricité,846932.236,81125.0,
2023,4,La Réunion,Electricité,2883657.067,429177.0,
2023,6,Mayotte,Electricité,381996.4251,57307.0,
2023,11,Île-de-France,Electricité,59598796.845970996,6878487.0,
2023,11,Île-de-France,Gaz,57156624.07906,2446683.0,
2023,24,Centre-Val de Loire,Electricité,15436316.40718,1589016.0,
2023,24,Centre-Val de Loire,Gaz,11955784.18579,460019.0,
2023,27,Bourgogne-Franche-Comté,Electricité,17477810.337511,1783545.0,
2023,27,Bourgogne-Franche-Comté,Gaz,15546740.02927,495740.0,
2023,28,Normandie,Electricité,23090495.355512,2063318.0,
2023,28,Normandie,Gaz,38401848.69722,538289.0,
2023,32,Hauts-de-France,Electricité,40260634.881400004,3240840.0,
2023,32,Hauts-de-France,Gaz,54813485.51275,1435646.0,
2023,44,Grand Est,Electricité,37026691.39228,3322676.0,
2023,44,Grand Est,Gaz,58892515.55378,1165656.0,
2023,52,Pays de la Loire,Electricité,23073793.416408002,2381550.0,
2023,52,Pays de la Loire,Gaz,17519465.28419,638237.0,
2023,53,Bretagne,Electricité,19884459.094279002,2245762.0,
2023,53,Bretagne,Gaz,17356131.88637,535749.0,
2023,75,Nouvelle-Aquitaine,Electricité,35538408.598999,4100269.0,
2023,75,Nouvelle-Aquitaine,Gaz,22601595.0414426,1017892.0,
2023,76,Occitanie,Electricité,32257257.767122,4201975.0,
2023,76,Occitanie,Gaz,15632622.9738626,886561.0,
2023,84,Auvergne-Rhône-Alpes,Electricité,56884013.782121,5309121.0,
2023,84,Auvergne-Rhône-Alpes,Gaz,39317002.49182,1373160.0,
2023,93,Provence-Alpes-Côte d'Azur,Electricité,33797743.258223996,3656124.0,
2023,93,Provence-Alpes-Côte d'Azur,Gaz,31888036.120109998,678027.0,
2023,94,Corse,Electricité,1994918.0559999999,282066.0,
2024,1,Guadeloupe,Electricité,1499074.923,235391.0,384315.0
2024,2,Martinique,Electricité,1419448.129,213518.0,360749.0
2024,3,Guyane,Electricité,864938.743,83155.0,286618.0
2024,4,La Réunion,Electricité,2874975.944,434359.0,871157.0
2024,6,Mayotte,Electricité,397905.2472,54027.0,
2024,11,Île-de-France,Electricité,60023339.567893,6945250.0,12317430.0
2024,11,Île-de-France,Gaz,56814940.34614,2409940.0,12317430.0
2024,24,Centre-Val de Loire,Electricité,16007953.629223,1609220.0,2573337.0
2024,24,Centre-Val de Loire,Gaz,12079715.73649,456200.0,2573337.0
2024,27,Bourgogne-Franche-Comté,Electricité,17686048.486465,1805029.0,2801614.0
2024,27,Bourgogne-Franche-Comté,Gaz,15309786.85648,488674.0,2801614.0
2024,28,Normandie,Electricité,22998223.203967,2074114.0,3327966.0
2024,28,Normandie,Gaz,38197985.75818,534701.0,3327966.0
2024,32,Hauts-de-France,Electricité,40936724.866282,3276697.0,5997925.0
2024,32,Hauts-de-France,Gaz,48226156.7358,1426694.0,5997925.0
2024,44,Grand Est,Electricité,37262124.357682,3350387.0,5561424.0
2024,44,Grand Est,Gaz,52724910.97664,1153566.0,5561424.0
2024,52,Pays de la Loire,Electricité,23040342.588115,2404044.0,3902116.0
2024,52,Pays de la Loire,Gaz,18043206.208499998,635977.0,3902116.0
2024,53,Bretagne,Electricité,20014595.647201,2274754.0,3395484.0
2024,53,Bretagne,Gaz,15755719.71113,535957.0,3395484.0
2024,75,Nouvelle-Aquitaine,Electricité,35462643.20656,4125463.0,6071317.0
2024,75,Nouvelle-Aquitaine,Gaz,22395511.0379846,1006646.0,6071317.0
2024,76,Occitanie,Electricité,31393288.855928,4223773.0,6022176.0
2024,76,Occitanie,Gaz,14608805.908433199,872389.0,6022176.0
2024,84,Auvergne-Rhône-Alpes,Electricité,56437443.512699,5342733.0,8124876.0
2024,84,Auvergne-Rhône-Alpes,Gaz,38453910.2358,1354340.0,8124876.0
2024,93,Provence-Alpes-Côte d'Azur,Electricité,41024688.185471,3683422.0,5127840.0
2024,93,Provence-Alpes-Côte d'Azur,Gaz,27289288.39458,664340.0,5127840.0
2024,94,Corse,Electricité,1973841.811,286700.0,347597.0
